ID;tempOrder ; price0 ; price5 ; price10 ; price 15 
 1152 ; 8.333333333333334 ; 1811.4992254544218 ; 1462.5216102710888 ; 1097.0437484309002 ; 733.8487304418953 
 2304 ; 8.666666666666666 ; 1845.4961027463382 ; 1490.8983730130878 ; 1117.2881568386622 ; 744.7000005218187 
 3456 ; 9.0 ; 1845.9929878319426 ; 1489.3493467556598 ; 1117.2892705263457 ; 744.7005919488643 
 4608 ; 9.333333333333334 ; 1846.6186008473303 ; 1487.7739957016568 ; 1117.2892705942554 ; 744.7005919849174 
 5760 ; 9.666666666666666 ; 1847.3512156249103 ; 1486.2752769586662 ; 1117.2892705942595 ; 744.7005919849196 
 6912 ; 10.0 ; 1848.0734461310255 ; 1484.930706358009 ; 1117.2892705942595 ; 744.7005919849196 
 8064 ; 10.333333333333334 ; 1848.7863062195293 ; 1483.673594142393 ; 1117.2892705942595 ; 744.7005919849196 
 9216 ; 10.666666666666666 ; 1849.3344382023604 ; 1482.5397393187832 ; 1117.2892705942595 ; 744.7005919849196 
 10368 ; 11.0 ; 1849.1351418434065 ; 1481.5590865809509 ; 1117.2892705942595 ; 744.7005919849196 
 11520 ; 11.333333333333334 ; 1848.7835560589085 ; 1480.649758895737 ; 1117.4215993028592 ; 744.7005919849196 
 12672 ; 11.666666666666666 ; 1848.383659615104 ; 1479.7733983115847 ; 1118.135634081154 ; 744.7005919849196 
 13824 ; 12.0 ; 1847.9839405559774 ; 1479.0252672714441 ; 1117.116126048699 ; 744.7005919849196 
 14976 ; 12.333333333333332 ; 1847.6008639322513 ; 1478.3659795577585 ; 1115.534207744902 ; 744.7005919849196 
 16128 ; 12.666666666666668 ; 1847.321843133388 ; 1477.696307365577 ; 1113.9844107219858 ; 744.7005919849196 
 17280 ; 13.0 ; 1847.2121987367018 ; 1477.1073130509972 ; 1112.5582276852524 ; 744.7005919849196 
 18432 ; 13.333333333333332 ; 1847.0964267491916 ; 1476.6947525229934 ; 1111.2884186997057 ; 744.7005919849196 
 19584 ; 13.666666666666668 ; 1846.9819480518897 ; 1476.298156694159 ; 1110.2307067473635 ; 744.7005919849196 
 20736 ; 14.0 ; 1846.8660113814435 ; 1475.8994904818583 ; 1109.2862357731913 ; 744.7005919849196 
 21888 ; 14.333333333333332 ; 1846.7500984583846 ; 1475.5280441922189 ; 1108.433530140606 ; 744.7005919849196 
 23040 ; 14.666666666666668 ; 1846.6555216660922 ; 1475.2767284969811 ; 1107.704896411867 ; 744.7005919849196 
 24192 ; 15.0 ; 1846.6731748324964 ; 1475.1711301189519 ; 1107.0447021058208 ; 744.7789711057982 
 25344 ; 15.333333333333332 ; 1846.8533168914676 ; 1475.0561155572982 ; 1106.4623752048517 ; 744.9968338902669 
 26496 ; 15.666666666666668 ; 1847.034949017647 ; 1474.9409640173787 ; 1106.0520165047546 ; 743.5202087054143 
 27648 ; 16.0 ; 1847.2156430357004 ; 1474.8249085313041 ; 1105.6549837851703 ; 742.0131806352209 
 28800 ; 16.333333333333336 ; 1847.3964581297982 ; 1474.770448548846 ; 1105.2975162933437 ; 740.7447946034147 
 29952 ; 16.666666666666664 ; 1847.5776233324223 ; 1474.9028127884305 ; 1105.0795616609491 ; 739.7631118416436 
 31104 ; 17.0 ; 1847.7587885068524 ; 1475.0883362887043 ; 1104.9727852255255 ; 738.9400157711452 
 32256 ; 17.333333333333336 ; 1847.9393477842054 ; 1475.2698259258316 ; 1104.8581080684405 ; 738.2361509599046 
 33408 ; 17.666666666666664 ; 1848.1177379158744 ; 1475.449064822113 ; 1104.7641403234525 ; 737.6598858896908 
 34560 ; 18.0 ; 1848.2991518712386 ; 1475.6314418167271 ; 1104.7946859282588 ; 737.2590368339363 
 35712 ; 18.333333333333336 ; 1848.480753586851 ; 1475.81401799855 ; 1104.9872119815059 ; 736.9197407398776 
 36864 ; 18.666666666666664 ; 1848.662169986756 ; 1475.9963934830541 ; 1105.1705672345136 ; 736.7413975740045 
 38016 ; 19.0 ; 1848.8436091202873 ; 1476.1788275636436 ; 1105.3539759656187 ; 736.6335319493679 
 39168 ; 19.333333333333336 ; 1849.0252635879497 ; 1476.3614556503849 ; 1105.5375862139267 ; 736.5914113558991 
 40320 ; 19.666666666666664 ; 1849.208134141689 ; 1476.5453150740404 ; 1105.722475330706 ; 736.7553771065968 
 41472 ; 20.0 ; 1849.388221510418 ; 1476.726312515077 ; 1105.9043917931592 ; 736.9401203795524 
 42624 ; 20.333333333333336 ; 1849.5693760203842 ; 1476.9084195459704 ; 1106.0874607017624 ; 737.1241631122414 
 43776 ; 20.666666666666664 ; 1849.7507309111872 ; 1477.090734893397 ; 1106.2707459372166 ; 737.3084268035547 
 44928 ; 21.0 ; 1849.932086787591 ; 1477.2730512367007 ; 1106.4540321779232 ; 737.4926915085829 
 46080 ; 21.333333333333336 ; 1850.1134436467364 ; 1477.4553685729045 ; 1106.6373194208045 ; 737.6769572241697 
 47232 ; 21.666666666666664 ; 1850.2948014886401 ; 1477.6376869020264 ; 1106.8206076658696 ; 737.8612239503265 
 48384 ; 22.0 ; 1850.4761603133118 ; 1477.8200062240776 ; 1107.003896913128 ; 738.0454916870575 
 49536 ; 22.333333333333336 ; 1850.6575201207656 ; 1478.0023265390614 ; 1107.1871871625901 ; 738.2297604343768 
 50688 ; 22.666666666666664 ; 1850.8388809110158 ; 1478.1846478469952 ; 1107.3704784142685 ; 738.414030192292 
 51840 ; 23.0 ; 1851.020242684068 ; 1478.366970147889 ; 1107.5537706681707 ; 738.5983009608133 
 52992 ; 8.0 ; 1155.9578896713886 ; 923.1863331436008 ; 691.5641549801167 ; 461.10238369364083 
